strategy,epsilon,eta,theta,kappa,w,r_LE,r_rmn,r_rcy,r_drusA,r_rcy2
154,,,,,0.52,,,,,
155,,,,,0.53,,,,,
156,,,,,0.54,,,,,
157,,,,,0.55,,,,,
158,,,,,0.56,,,,,
159,,,,,0.57,,,,,
160,,,,,0.58,,,,,
161,,,,,0.59,,,,,
162,,,,,0.6,,,,,
163,,,,,0.61,,,,,
164,,,,,0.62,,,,,
165,,,,,0.63,,,,,
166,,,,,0.64,,,,,
167,,,,,0.65,,,,,
168,,,,,0.66,,,,,
169,,,,,0.67,,,,,
170,,,,,0.68,,,,,
171,,,,,0.69,,,,,
172,,,,,0.7,,,,,
173,,,,,0.71,,,,,
174,,,,,0.72,,,,,
175,,,,,0.73,,,,,
176,,,,,0.74,,,,,
177,,,,,0.75,,,,,
178,,,,,0.76,,,,,
179,,,,,0.77,,,,,
180,,,,,0.78,,,,,
181,,,,,0.79,,,,,
182,,,,,0.8,,,,,
183,,,,,0.81,,,,,
184,,,,,0.82,,,,,
185,,,,,0.83,,,,,
186,,,,,0.84,,,,,
187,,,,,0.85,,,,,
188,,,,,0.86,,,,,
189,,,,,0.87,,,,,
190,,,,,0.88,,,,,
191,,,,,0.89,,,,,
192,,,,,0.9,,,,,
193,,,,,0.91,,,,,
194,,,,,0.92,,,,,
195,,,,,0.93,,,,,
196,,,,,0.94,,,,,
197,,,,,0.95,,,,,
198,,,,,0.96,,,,,
199,,,,,0.97,,,,,
200,,,,,0.98,,,,,
201,,,,,0.99,,,,,
202,,,,,1,,,,,
203,,,,,,-0.2,,,,
204,,,,,,-0.19,,,,
205,,,,,,-0.18,,,,
206,,,,,,-0.17,,,,
207,,,,,,-0.16,,,,
208,,,,,,-0.15,,,,
209,,,,,,-0.14,,,,
210,,,,,,-0.13,,,,
211,,,,,,-0.12,,,,
212,,,,,,-0.11,,,,
213,,,,,,-0.1,,,,
214,,,,,,-0.09,,,,
215,,,,,,-0.08,,,,
216,,,,,,-0.07,,,,
217,,,,,,-0.06,,,,
218,,,,,,-0.05,,,,
219,,,,,,-0.04,,,,
220,,,,,,-0.03,,,,
221,,,,,,-0.02,,,,
222,,,,,,-0.01,,,,
223,,,,,,0,,,,
224,,,,,,0.01,,,,
225,,,,,,0.02,,,,
226,,,,,,0.03,,,,
227,,,,,,0.04,,,,
228,,,,,,0.05,,,,
229,,,,,,0.06,,,,
230,,,,,,0.07,,,,
231,,,,,,0.08,,,,
232,,,,,,0.09,,,,
233,,,,,,0.1,,,,
234,,,,,,0.11,,,,
235,,,,,,0.12,,,,
236,,,,,,0.13,,,,
237,,,,,,0.14,,,,
238,,,,,,0.15,,,,
239,,,,,,0.16,,,,
240,,,,,,0.17,,,,
241,,,,,,0.18,,,,
242,,,,,,0.19,,,,
243,,,,,,0.2,,,,
244,,,,,,0.21,,,,
245,,,,,,0.22,,,,
246,,,,,,0.23,,,,
247,,,,,,0.24,,,,
248,,,,,,0.25,,,,
249,,,,,,0.26,,,,
250,,,,,,0.27,,,,
251,,,,,,0.28,,,,
252,,,,,,0.29,,,,
253,,,,,,0.3,,,,
254,,,,,,0.31,,,,
255,,,,,,0.32,,,,
256,,,,,,0.33,,,,
257,,,,,,0.34,,,,
258,,,,,,0.35,,,,
259,,,,,,0.36,,,,
260,,,,,,0.37,,,,
261,,,,,,0.38,,,,
262,,,,,,0.39,,,,
263,,,,,,0.4,,,,
264,,,,,,0.41,,,,
265,,,,,,0.42,,,,
266,,,,,,0.43,,,,
267,,,,,,0.44,,,,
268,,,,,,0.45,,,,
269,,,,,,0.46,,,,
270,,,,,,0.47,,,,
271,,,,,,0.48,,,,
272,,,,,,0.49,,,,
273,,,,,,0.5,,,,
274,,,,,,,0,,,
275,,,,,,,0.01,,,
276,,,,,,,0.02,,,
277,,,,,,,0.03,,,
278,,,,,,,0.04,,,
279,,,,,,,0.05,,,
280,,,,,,,0.06,,,
281,,,,,,,0.07,,,
282,,,,,,,0.08,,,
283,,,,,,,0.09,,,
284,,,,,,,0.1,,,
285,,,,,,,0.11,,,
286,,,,,,,0.12,,,
287,,,,,,,0.13,,,
288,,,,,,,0.14,,,
289,,,,,,,0.15,,,
290,,,,,,,0.16,,,
291,,,,,,,0.17,,,
292,,,,,,,0.18,,,
293,,,,,,,0.19,,,
294,,,,,,,0.2,,,
295,,,,,,,0.21,,,
296,,,,,,,0.22,,,
297,,,,,,,0.23,,,
298,,,,,,,0.24,,,
299,,,,,,,0.25,,,
300,,,,,,,0.26,,,
301,,,,,,,0.27,,,
302,,,,,,,0.28,,,
303,,,,,,,0.29,,,
304,,,,,,,0.3,,,
305,,,,,,,0.31,,,
306,,,,,,,0.32,,,
307,,,,,,,0.33,,,
308,,,,,,,0.34,,,
309,,,,,,,0.35,,,
310,,,,,,,0.36,,,
311,,,,,,,0.37,,,
312,,,,,,,0.38,,,
313,,,,,,,0.39,,,
314,,,,,,,0.4,,,
315,,,,,,,0.41,,,
316,,,,,,,0.42,,,
317,,,,,,,0.43,,,
318,,,,,,,0.44,,,
319,,,,,,,0.45,,,
320,,,,,,,0.46,,,
321,,,,,,,0.47,,,
322,,,,,,,0.48,,,
323,,,,,,,0.49,,,
324,,,,,,,0.5,,,
325,,,,,,,0.51,,,
326,,,,,,,0.52,,,
327,,,,,,,0.53,,,
328,,,,,,,0.54,,,
329,,,,,,,0.55,,,
330,,,,,,,0.56,,,
331,,,,,,,0.57,,,
332,,,,,,,0.58,,,
333,,,,,,,0.59,,,
334,,,,,,,0.6,,,
335,,,,,,,0.61,,,
336,,,,,,,0.62,,,
337,,,,,,,0.63,,,
338,,,,,,,0.64,,,
339,,,,,,,0.65,,,
340,,,,,,,0.66,,,
341,,,,,,,0.67,,,
342,,,,,,,0.68,,,
343,,,,,,,0.69,,,
344,,,,,,,0.7,,,
345,,,,,,,0.71,,,
346,,,,,,,0.72,,,
347,,,,,,,0.73,,,
348,,,,,,,0.74,,,
349,,,,,,,0.75,,,
350,,,,,,,0.76,,,
351,,,,,,,0.77,,,
352,,,,,,,0.78,,,
353,,,,,,,0.79,,,
354,,,,,,,0.8,,,
355,,,,,,,0.81,,,
356,,,,,,,0.82,,,
357,,,,,,,0.83,,,
358,,,,,,,0.84,,,
359,,,,,,,0.85,,,
360,,,,,,,0.86,,,
361,,,,,,,0.87,,,
362,,,,,,,0.88,,,
363,,,,,,,0.89,,,
364,,,,,,,0.9,,,
365,,,,,,,0.91,,,
366,,,,,,,0.92,,,
367,,,,,,,0.93,,,
368,,,,,,,0.94,,,
369,,,,,,,0.95,,,
370,,,,,,,0.96,,,
371,,,,,,,0.97,,,
372,,,,,,,0.98,,,
373,,,,,,,0.99,,,
374,,,,,,,1,,,
375,,,,,,,,0,,
376,,,,,,,,0.01,,
377,,,,,,,,0.02,,
378,,,,,,,,0.03,,
379,,,,,,,,0.04,,
380,,,,,,,,0.05,,
381,,,,,,,,0.06,,
382,,,,,,,,0.07,,
383,,,,,,,,0.08,,
384,,,,,,,,0.09,,
385,,,,,,,,0.1,,
386,,,,,,,,0.11,,
387,,,,,,,,0.12,,
388,,,,,,,,0.13,,
389,,,,,,,,0.14,,
390,,,,,,,,0.15,,
391,,,,,,,,0.16,,
392,,,,,,,,0.17,,
393,,,,,,,,0.18,,
394,,,,,,,,0.19,,
395,,,,,,,,0.2,,
396,,,,,,,,0.21,,
397,,,,,,,,0.22,,
398,,,,,,,,0.23,,
399,,,,,,,,0.24,,
400,,,,,,,,0.25,,
401,,,,,,,,0.26,,
402,,,,,,,,0.27,,
403,,,,,,,,0.28,,
404,,,,,,,,0.29,,
405,,,,,,,,0.3,,
406,,,,,,,,0.31,,
407,,,,,,,,0.32,,
408,,,,,,,,0.33,,
409,,,,,,,,0.34,,
410,,,,,,,,0.35,,
411,,,,,,,,0.36,,
412,,,,,,,,0.37,,
413,,,,,,,,0.38,,
414,,,,,,,,0.39,,
415,,,,,,,,0.4,,
416,,,,,,,,0.41,,
417,,,,,,,,0.42,,
418,,,,,,,,0.43,,
419,,,,,,,,0.44,,
420,,,,,,,,0.45,,
421,,,,,,,,0.46,,
422,,,,,,,,0.47,,
423,,,,,,,,0.48,,
424,,,,,,,,0.49,,
425,,,,,,,,0.5,,
426,,,,,,,,0.51,,
427,,,,,,,,0.52,,
428,,,,,,,,0.53,,
429,,,,,,,,0.54,,
430,,,,,,,,0.55,,
431,,,,,,,,0.56,,
432,,,,,,,,0.57,,
433,,,,,,,,0.58,,
434,,,,,,,,0.59,,
435,,,,,,,,0.6,,
436,,,,,,,,0.61,,
437,,,,,,,,0.62,,
438,,,,,,,,0.63,,
439,,,,,,,,0.64,,
440,,,,,,,,0.65,,
441,,,,,,,,0.66,,
442,,,,,,,,0.67,,
443,,,,,,,,0.68,,
444,,,,,,,,0.69,,
445,,,,,,,,0.7,,
446,,,,,,,,0.71,,
447,,,,,,,,0.72,,
448,,,,,,,,0.73,,
449,,,,,,,,0.74,,
450,,,,,,,,0.75,,
451,,,,,,,,0.76,,
452,,,,,,,,0.77,,
453,,,,,,,,0.78,,
454,,,,,,,,0.79,,
455,,,,,,,,0.8,,
456,,,,,,,,0.81,,
457,,,,,,,,0.82,,
458,,,,,,,,0.83,,
459,,,,,,,,0.84,,
460,,,,,,,,0.85,,
461,,,,,,,,0.86,,
462,,,,,,,,0.87,,
463,,,,,,,,0.88,,
464,,,,,,,,0.89,,
465,,,,,,,,0.9,,
466,,,,,,,,0.91,,
467,,,,,,,,0.92,,
468,,,,,,,,0.93,,
469,,,,,,,,0.94,,
470,,,,,,,,0.95,,
471,,,,,,,,0.96,,
472,,,,,,,,0.97,,
473,,,,,,,,0.98,,
474,,,,,,,,0.99,,
475,,,,,,,,1,,
476,,,,,,,,,0,
477,,,,,,,,,0.01,
478,,,,,,,,,0.02,
479,,,,,,,,,0.03,
480,,,,,,,,,0.04,
481,,,,,,,,,0.05,
482,,,,,,,,,0.06,
483,,,,,,,,,0.07,
484,,,,,,,,,0.08,
485,,,,,,,,,0.09,
486,,,,,,,,,0.1,
487,,,,,,,,,0.11,
488,,,,,,,,,0.12,
489,,,,,,,,,0.13,
490,,,,,,,,,0.14,
491,,,,,,,,,0.15,
492,,,,,,,,,0.16,
493,,,,,,,,,0.17,
494,,,,,,,,,0.18,
495,,,,,,,,,0.19,
496,,,,,,,,,0.2,
497,,,,,,,,,0.21,
498,,,,,,,,,0.22,
499,,,,,,,,,0.23,
500,,,,,,,,,0.24,
501,,,,,,,,,0.25,
502,,,,,,,,,0.26,
503,,,,,,,,,0.27,
504,,,,,,,,,0.28,
505,,,,,,,,,0.29,
506,,,,,,,,,0.3,
507,,,,,,,,,0.31,
508,,,,,,,,,0.32,
509,,,,,,,,,0.33,
510,,,,,,,,,0.34,
511,,,,,,,,,0.35,
512,,,,,,,,,0.36,
513,,,,,,,,,0.37,
514,,,,,,,,,0.38,
515,,,,,,,,,0.39,
516,,,,,,,,,0.4,
517,,,,,,,,,0.41,
518,,,,,,,,,0.42,
519,,,,,,,,,0.43,
520,,,,,,,,,0.44,
521,,,,,,,,,0.45,
522,,,,,,,,,0.46,
523,,,,,,,,,0.47,
524,,,,,,,,,0.48,
525,,,,,,,,,0.49,
526,,,,,,,,,0.5,
527,,,,,,,,,0.51,
528,,,,,,,,,0.52,
529,,,,,,,,,0.53,
530,,,,,,,,,0.54,
531,,,,,,,,,0.55,
532,,,,,,,,,0.56,
533,,,,,,,,,0.57,
534,,,,,,,,,0.58,
535,,,,,,,,,0.59,
536,,,,,,,,,0.6,
537,,,,,,,,,0.61,
538,,,,,,,,,0.62,
539,,,,,,,,,0.63,
540,,,,,,,,,0.64,
541,,,,,,,,,0.65,
542,,,,,,,,,0.66,
543,,,,,,,,,0.67,
544,,,,,,,,,0.68,
545,,,,,,,,,0.69,
546,,,,,,,,,0.7,
547,,,,,,,,,0.71,
548,,,,,,,,,0.72,
549,,,,,,,,,0.73,
550,,,,,,,,,0.74,
551,,,,,,,,,0.75,
552,,,,,,,,,0.76,
553,,,,,,,,,0.77,
554,,,,,,,,,0.78,
555,,,,,,,,,0.79,
556,,,,,,,,,0.8,
557,,,,,,,,,0.81,
558,,,,,,,,,0.82,
559,,,,,,,,,0.83,
560,,,,,,,,,0.84,
561,,,,,,,,,0.85,
562,,,,,,,,,0.86,
563,,,,,,,,,0.87,
564,,,,,,,,,0.88,
565,,,,,,,,,0.89,
566,,,,,,,,,0.9,
567,,,,,,,,,0.91,
568,,,,,,,,,0.92,
569,,,,,,,,,0.93,
570,,,,,,,,,0.94,
571,,,,,,,,,0.95,
572,,,,,,,,,0.96,
573,,,,,,,,,0.97,
574,,,,,,,,,0.98,
575,,,,,,,,,0.99,
576,,,,,,,,,1,
577,,,,,,,,,,0
578,,,,,,,,,,0.01
579,,,,,,,,,,0.02
580,,,,,,,,,,0.03
581,,,,,,,,,,0.04
582,,,,,,,,,,0.05
583,,,,,,,,,,0.06
584,,,,,,,,,,0.07
585,,,,,,,,,,0.08
586,,,,,,,,,,0.09
587,,,,,,,,,,0.1
588,,,,,,,,,,0.11
589,,,,,,,,,,0.12
590,,,,,,,,,,0.13
591,,,,,,,,,,0.14
592,,,,,,,,,,0.15
593,,,,,,,,,,0.16
594,,,,,,,,,,0.17
595,,,,,,,,,,0.18
596,,,,,,,,,,0.19
597,,,,,,,,,,0.2
598,,,,,,,,,,0.21
599,,,,,,,,,,0.22
600,,,,,,,,,,0.23
601,,,,,,,,,,0.24
602,,,,,,,,,,0.25
603,,,,,,,,,,0.26
604,,,,,,,,,,0.27
605,,,,,,,,,,0.28
606,,,,,,,,,,0.29
607,,,,,,,,,,0.3
608,,,,,,,,,,0.31
609,,,,,,,,,,0.32
610,,,,,,,,,,0.33
611,,,,,,,,,,0.34
612,,,,,,,,,,0.35
613,,,,,,,,,,0.36
614,,,,,,,,,,0.37
615,,,,,,,,,,0.38
616,,,,,,,,,,0.39
617,,,,,,,,,,0.4
618,,,,,,,,,,0.41
619,,,,,,,,,,0.42
620,,,,,,,,,,0.43
621,,,,,,,,,,0.44
622,,,,,,,,,,0.45
623,,,,,,,,,,0.46
624,,,,,,,,,,0.47
625,,,,,,,,,,0.48
626,,,,,,,,,,0.49
627,,,,,,,,,,0.5
628,,,,,,,,,,0.51
629,,,,,,,,,,0.52
630,,,,,,,,,,0.53
631,,,,,,,,,,0.54
632,,,,,,,,,,0.55
633,,,,,,,,,,0.56
634,,,,,,,,,,0.57
635,,,,,,,,,,0.58
636,,,,,,,,,,0.59
637,,,,,,,,,,0.6
638,,,,,,,,,,0.61
639,,,,,,,,,,0.62
640,,,,,,,,,,0.63
641,,,,,,,,,,0.64
642,,,,,,,,,,0.65
643,,,,,,,,,,0.66
644,,,,,,,,,,0.67
645,,,,,,,,,,0.68
646,,,,,,,,,,0.69
647,,,,,,,,,,0.7
648,,,,,,,,,,0.71
649,,,,,,,,,,0.72
650,,,,,,,,,,0.73
651,,,,,,,,,,0.74
652,,,,,,,,,,0.75
653,,,,,,,,,,0.76
654,,,,,,,,,,0.77
655,,,,,,,,,,0.78
656,,,,,,,,,,0.79
657,,,,,,,,,,0.8
658,,,,,,,,,,0.81
659,,,,,,,,,,0.82
660,,,,,,,,,,0.83
661,,,,,,,,,,0.84
662,,,,,,,,,,0.85
663,,,,,,,,,,0.86
664,,,,,,,,,,0.87
665,,,,,,,,,,0.88
666,,,,,,,,,,0.89
667,,,,,,,,,,0.9
668,,,,,,,,,,0.91
669,,,,,,,,,,0.92
670,,,,,,,,,,0.93
671,,,,,,,,,,0.94
672,,,,,,,,,,0.95
673,,,,,,,,,,0.96
674,,,,,,,,,,0.97
675,,,,,,,,,,0.98
676,,,,,,,,,,0.99
677,,,,,,,,,,1
